,Continent,Year,Flow
0,Africa,1990,15027954.0
1,Africa,1995,16362151.0
2,Africa,2000,16178196.0
3,Africa,2005,18511811.0
4,Africa,2010,25882488.0
5,Africa,2015,34030325.0
6,Africa,2019,39090797.0
7,America,1990,15033995.0
8,America,1995,18285619.0
9,America,2000,21186259.0
10,America,2005,20486362.0
11,America,2010,27292847.0
12,America,2015,29795093.0
13,America,2019,32086394.0
14,Asia,1990,12465484.0
15,Asia,1995,12325478.0
16,Asia,2000,10920110.0
17,Asia,2005,9672812.0
18,Asia,2010,12527732.0
19,Asia,2015,15656359.0
20,Asia,2019,16131608.0
21,Europe,1990,22690001.0
22,Europe,1995,24177781.0
23,Europe,2000,25010073.0
24,Europe,2005,26634762.0
25,Europe,2010,31730875.0
26,Europe,2015,33410829.0
27,Europe,2019,37165689.0
28,Oceania,1990,2371622.0
29,Oceania,1995,2468619.0
30,Oceania,2000,394803.0
31,Oceania,2005,60805.0
32,Oceania,2010,3418407.0
33,Oceania,2015,3852477.0
34,Oceania,2019,4248668.0
